epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,14865.1,0.87116,0.5548,1.03732,0.96902,0.96021,0.98271,0.82555,0.70321,0.34099,0.93429,0.00820525,0.00820525,0.00820525
86,15040.5,0.86793,0.55244,1.03412,0.96909,0.96152,0.98292,0.82484,0.70217,0.34038,0.93369,0.00816514,0.00816514,0.00816514
87,15215.8,0.86474,0.54907,1.03445,0.96874,0.96164,0.98294,0.82512,0.70102,0.33992,0.93307,0.00812468,0.00812468,0.00812468
88,15391.6,0.8642,0.55056,1.03343,0.96848,0.96182,0.98297,0.82468,0.70036,0.3396,0.93271,0.00808389,0.00808389,0.00808389
89,15566.8,0.86214,0.55266,1.03177,0.9689,0.96208,0.98307,0.82578,0.69963,0.33888,0.93225,0.00804277,0.00804277,0.00804277
90,15743.8,0.8628,0.54752,1.03081,0.96886,0.96214,0.98313,0.82634,0.69882,0.33853,0.93195,0.00800131,0.00800131,0.00800131
91,15921.2,0.86077,0.5432,1.02968,0.96927,0.96152,0.98308,0.82753,0.69791,0.33816,0.93161,0.00795954,0.00795954,0.00795954
92,16098.9,0.85457,0.54331,1.02845,0.96887,0.962,0.9831,0.82756,0.69704,0.33813,0.93126,0.00791744,0.00791744,0.00791744
93,16276.7,0.85403,0.54552,1.0264,0.96916,0.96193,0.98307,0.82806,0.69636,0.338,0.93091,0.00787503,0.00787503,0.00787503
94,16454.3,0.85482,0.5399,1.02521,0.96903,0.9619,0.9831,0.82848,0.69568,0.33833,0.93019,0.00783231,0.00783231,0.00783231
95,16631.8,0.85089,0.53683,1.02196,0.96931,0.96189,0.98301,0.82839,0.69487,0.33835,0.92949,0.00778929,0.00778929,0.00778929
96,16809.1,0.84366,0.53157,1.01513,0.96933,0.96201,0.98301,0.8286,0.694,0.33863,0.92885,0.00774596,0.00774596,0.00774596
97,16986.5,0.84555,0.53115,1.01813,0.96855,0.96253,0.98304,0.82795,0.69325,0.33859,0.92837,0.00770234,0.00770234,0.00770234
98,17163.5,0.84165,0.52948,1.01718,0.96828,0.96264,0.98287,0.82901,0.69244,0.33841,0.92769,0.00765843,0.00765843,0.00765843
99,17340.4,0.84353,0.53021,1.01751,0.96791,0.96312,0.98305,0.82894,0.69158,0.33895,0.9271,0.00761423,0.00761423,0.00761423
100,17516.8,0.84117,0.52395,1.01678,0.96783,0.96313,0.983,0.82843,0.69086,0.33915,0.92665,0.00756976,0.00756976,0.00756976
101,17692.7,0.83596,0.52411,1.01431,0.96803,0.96268,0.98306,0.82825,0.69031,0.33959,0.92616,0.007525,0.007525,0.007525
102,17868.7,0.83691,0.52278,1.01476,0.96794,0.96305,0.98311,0.82885,0.6898,0.33978,0.92575,0.00747997,0.00747997,0.00747997
103,18045.1,0.83664,0.52651,1.01473,0.96801,0.96307,0.98309,0.83014,0.68889,0.33996,0.92509,0.00743468,0.00743468,0.00743468
104,18221.5,0.8439,0.52999,1.02182,0.96731,0.96395,0.98319,0.83065,0.68815,0.34016,0.92439,0.00738913,0.00738913,0.00738913
105,18397.9,0.83542,0.52601,1.01623,0.96711,0.96434,0.98325,0.83178,0.68759,0.34035,0.92389,0.00734332,0.00734332,0.00734332
106,18574.1,0.82993,0.51708,1.01228,0.96755,0.96469,0.98313,0.83201,0.68685,0.34046,0.92336,0.00729725,0.00729725,0.00729725
107,18749.9,0.82922,0.5139,1.01025,0.96748,0.96493,0.98316,0.83181,0.68603,0.34062,0.92264,0.00725094,0.00725094,0.00725094
108,18925.8,0.83016,0.5218,1.01263,0.96736,0.96513,0.98323,0.83191,0.68547,0.34064,0.9222,0.00720439,0.00720439,0.00720439
109,19099.8,0.82812,0.5158,1.01091,0.96758,0.96487,0.98324,0.83215,0.68476,0.34049,0.92171,0.00715761,0.00715761,0.00715761
110,19277.4,0.8231,0.51133,1.00881,0.96748,0.96498,0.98321,0.83215,0.68425,0.34037,0.92139,0.00711059,0.00711059,0.00711059
111,19454.7,0.83064,0.52035,1.01181,0.9678,0.96499,0.98326,0.83244,0.68335,0.33999,0.92084,0.00706335,0.00706335,0.00706335
112,19632.6,0.82676,0.51644,1.01075,0.96799,0.96497,0.98323,0.83319,0.68269,0.33974,0.92049,0.00701588,0.00701588,0.00701588
113,19810,0.8267,0.51517,1.01198,0.9682,0.96506,0.98321,0.83376,0.68217,0.33939,0.92006,0.0069682,0.0069682,0.0069682
114,19987.6,0.82511,0.51634,1.01058,0.96845,0.96498,0.98325,0.83344,0.68175,0.33902,0.91973,0.00692031,0.00692031,0.00692031
115,20165.1,0.81757,0.50572,1.00668,0.96877,0.96503,0.98343,0.8339,0.68135,0.3385,0.91943,0.00687222,0.00687222,0.00687222
116,20342.4,0.81349,0.50152,1.00394,0.96914,0.96474,0.98353,0.83456,0.68083,0.33787,0.91905,0.00682392,0.00682392,0.00682392
117,20520.1,0.81454,0.50725,1.00627,0.9691,0.96446,0.9835,0.8333,0.68024,0.33734,0.91871,0.00677543,0.00677543,0.00677543
118,20697.7,0.81505,0.50578,1.00604,0.96926,0.96454,0.98357,0.8335,0.67984,0.3367,0.91845,0.00672675,0.00672675,0.00672675
